ID;RESPOND;Region;Region_edu;P5a;P5b;P5c;P5d;P5e1;P5e2;P5f1;P5f2;P5g;P5h;P5i;P5j;P5k_1;P5k_2;P5k_3;P5k_4;P5k_5;P5k_6;P5k_7;P5k_98;P5kEsp98;P5l;P6;P7;P8_1;P8_2;P8_3;P8_98;P8Esp98;filtro_NNA;p39a;P40;P40Esp98;P41_1;P41_2;P41_3;P41_4;P41_5;P41_6;P41_7;P41_8;P41_11;P41_12;P41_98;P41Esp98;P42;P43_1;P43_2;P43_3;P43_4;P43_5;P43_6;P43_7;P43_8;P43_9;P43_98;P43Esp98;P44;P45_1;P45_2;P45_3;P45_4;P45_5;P45_98;P45Esp98;P46_1;P46_2;P46_3;P46_4;P46_5;P46_6;P46_7;P46_8;P46_9;P46_11;P46_12;P46_99;P47;P47A;P48;P49_1;P49_2;P49_3;P49_4;P49_98;P49Esp98;P50;P51_1;P51_2;P52;p39b;P53_1;P53_2;P53_3;P53_4;P53_5;P53_6;P53_7;P53_98;P53_99;P53Esp98;P54a_1;P54a_2;P54a_3;P54a_4;P54a_5;P54a_6;P54a_7;P54a_8;P54a_9;cant_tec;P54b_1;P54b_2;P54b_3;P54b_4;P54b_5;P54b_6;P54b_7;P54b_8;P54b_9;P55;P56;P57;P58;P59a_1;P59a_2;P59a_3;P59a_4;P59a_5;P59a_6;P59a_7;P59a_8;P59b_1;P59b_2;P59b_3;P59b_4;P59b_5;P59b_6;P59b_7;P59b_8;P60_1;P60_2;P60_3;P60_4;P60_5;P60_6;P60_7;P60_8;P60_9;P60_98;P60Esp98;act_fisica;P61;P62_1;P62_2;P62_3;estado_animo;P63_1;P63_2;P63_3;P63_4;P63_5;P63_6;P63_7;P63_98;P63_99;P63Esp98;P64;P65;P66;nivel_setor;nivel_sector2;ayuda_labor;ayuda_hnos;tipo_SE;intens_CP;perc_AUH;perc_IFE;acceso_comp;dispo_comp;compu_NNA;acceso_int;tipo_int;acceso_TIC;NEA;clima;clima_dico;VSEH;VSEH_dico;pondera_preliminar;pondera_definitivo
804;#2;AMBA;1;16;1;2;1;3;;15;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;2; ;; ;;;;;;;;;;;; ;1;;;;;5;6;7;;;; ;4;1;;;4;;; ;;;3;4;;;;;;12;;;2; ;2;1;;;;; ;4;1;1;4; ;1;;3;4;;;;;; ;1;1;2;1;1;2;1;2;2;4;2;2;;2;2;;1;;;3;2;1;3;2;2;2;3;3;3;3;3;1;1;1;2;2;2;2;2;;2;3;4;5;;7;8;9;; ;2;2;2;2;1;2;1;;;;5;;;;; ;creo que es necesario dentro de todo vamos muy bien y ya estamos acostumbrados ya me adapte me mantuve muy bien;2; ;6;8;2;2;1;4;2;2;1;1;2;1;1;1;2;6;2;4;2;7.369;7.961
813;#1;AMBA;1;15;1;2;1;3;;14;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;2;no;; ;;;;;;;;;;;; ;1;;;;4;5;;7;;9;; ;1;1;;;;;;                                       1;2;3;4;6;;8;;10;11;;;;1; ;2;1;2;;;; ;5;1;1;4; ;1;2;3;;;6;7;;; ;1;2;1;1;1;1;1;1;2;5;1;;1;1;1;1;1;1;;3;3;3;3;3;2;1;3;1;2;3;3;2;2;1;2;1;2;2;2;1;2;3;;5;;;8;9;; ;2;2;2;2;2;1;1;2;;;;;;;; ;tendr�an que tener en cuenta que muchos compa�eros tienen problemas de conexi�n.;1;como estar aislado.;5;7;2;1;1;1;2;2;1;1;2;1;2;1;2;8;2;4;2;7.591;8.800
813;#2;AMBA;1;14;1;2;1;3;;13;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;5;7;;;1;6;2;2;1;1;2;1;2;1;2;8;2;4;2;7.591;8.800
813;#3;AMBA;1;11;2;2;1;2;;10;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;;2;3;4;5;;;8;;;; ;1;;;;4;;6;;;9;; ;2;1;;;;;; ;1;;3;;;;8;;;;;;2; ;1;;2;;;; ;2;1;2;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;4;6;;;1;2;2;2;1;1;2;1;2;1;2;8;2;4;2;7.591;8.800
813;#4;AMBA;1;4;2;2;1;1;;3;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;;;3;;5;6;7;;;;; ;1;;;;4;;6;;;9;; ;2;1;2;;;;; ;;2;3;4;;;8;;;;;;3; ;2;;2;;;; ;2;1;2;;el jardín es mas difícil que se enganchen y a su vez deberían ser los últimos en volver;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;2;3;;;1;2;2;2;1;1;2;1;2;1;2;8;2;4;2;7.591;8.800
910;#1;AMBA;1;5;1;2;1;1;;4;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;2; ;;;;4;;6;7;8;;;; ;1;;;;;5;;7;;;; ;3;1;;;;;; ;;2;;4;;;;;;;;;1; ;1;;2;;;; ;2;1;1;4;no;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;2;3;;;1;3;2;2;1;1;2;1;1;1;2;9;2;4;2;7.503;8.377
910;#2;AMBA;1;10;2;2;1;2;;8;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;2; ;1;2;3;4;5;6;;8;;;; ;1;;;;;5;;;;;; ;2;1;2;;;;; ;1;;;4;;7;8;;10;;;;1; ;1;;2;;;; ;3;1;1;4; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;4;6;;;1;2;2;2;1;1;2;1;1;1;2;9;2;4;2;7.503;8.377
910;#3;AMBA;1;12;1;2;1;3;;12;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;6;8;;;1;6;2;2;1;1;2;1;1;1;2;9;2;4;2;7.503;8.377
1015;#1;AMBA;1;6;1;2;1;2;;5;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;;2;;;5;6;7;8;;;; ;1;;;;;5;;;;9;; ;3;1;;;;;; ;;2;;;;7;8;;;;;;1; ;1;1;;;;; ;2;1;1;3;nada;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;3;1;2;1;1;2;1;1;1;2;5;2;3;2;2.079;2.580
1015;#2;AMBA;1;3;2;2;1;1;;2;;1;;;;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;6;6;1;2;1;1;2;1;1;1;2;5;2;3;2;2.079;2.580
1016;#1;AMBA;1;8;1;2;1;2;;7;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;2; ;1;2;3;4;5;6;7;8;;;; ;1;;;3;;;;7;;;; ;1;1;;3;;;; ;1;2;3;;6;;8;9;10;;;;1; ;3;;;;;; ;2;1;1;4;se podria mejorar pero como fue imprevista, el resultado es positivo;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;3;2;2;1;1;2;1;1;1;2;9;2;4;2;2.079;2.580
1016;#2;AMBA;1;4;2;2;1;1;;3;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;2; ;1;2;3;4;5;6;7;;;;; ;1;;;3;;;;7;;;; ;3;1;;;;;; ;1;2;3;;6;;8;;;;;;1; ;3;;;;;; ;2;1;1;4; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;4;2;2;1;1;2;1;1;1;2;9;2;4;2;2.079;2.580
1505;#1;AMBA;1;8;2;2;1;2;;7;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;;2;3;;5;6;7;;;;; ;1;1;;3;;;;7;;;; ;4;1;;;;;; ;1;;3;4;;;8;9;;;;;3; ;3;;;;;; ;2;2;2;;entregamos la tarea en la escuela. les mandan tareas al kiosco;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;4;2;2;1;1;2;1;1;1;2;7;2;4;2;2.285;2.836
1505;#2;AMBA;1;4;2;2;1;1;;3;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;;;7;;;;; ;1;;;;4;5;;;;9;; ;3;1;2;;;;; ;;2;3;4;;;;;;;;;1; ;1;;2;;;; ;2;1;1;4; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;3;2;2;1;1;2;1;1;1;2;7;2;4;2;2.285;2.836
2104;#1;AMBA;1;7;2;2;1;2;;6;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;2; ;1;2;3;4;;;7;8;;;; ;2;;;;;;;;;;; ;1;1;2;;;;; ;1;2;3;4;;7;8;;10;;;;1; ;1;1;2;;;; ;2;1;1;4;que hay herramientas y las escuelas no las utilizan;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;1;2;2;1;1;1;1;2;1;2;8;2;4;2;455;02
2104;#2;AMBA;1;2;1;2;2;;5;;;;;;;;;;;;;;; ;;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;0;9;;;6;6;2;2;1;1;1;1;2;1;2;8;2;4;2;455;02
2110;#1;AMBA;1;13;1;2;1;3;;12;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;2; ;; ;;;;;;;;;;;; ;2;;;;;;;;;;; ;3;1;2;3;;;; ;;2;;;;7;;;;;;;1; ;1;1;;;;; ;2;1;2;; ;1;;3;;;;;;; ;2;1;2;1;1;1;1;2;2;4;;1;;1;1;1;2;;;1;1;1;3;2;1;1;3;1;2;3;2;1;2;1;2;1;1;2;2;1;2;;;5;;7;8;;; ;2;2;2;1;1;3;1;2;;;;;;;; ;ALGUNOS PROGRAMAS QUE MANDAN LOS PROFESORES NO SON DEL TODO CLARO;2; ;6;8;2;1;1;3;2;2;1;1;1;1;1;1;2;4;1;4;2;1.684;97
2110;#2;AMBA;1;1;2;2;2;;5;;;;;;;;;;;;;;; ;;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;0;9;;;6;6;2;2;1;1;1;1;1;1;2;4;1;4;2;1.684;97
2119;#1;AMBA;1;5;2;2;1;1;;4;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;;3;4;;;;;;;; ;1;;;3;4;;;7;;;; ;1;1;;;;;; ;;2;3;4;;;8;;;;;;1; ;1;;2;;;; ;2;1;1;4; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;2;3;;;1;1;1;2;1;2;2;1;1;1;2;8;2;4;2;4.201;4.683
2119;#2;AMBA;1;10;2;2;1;2;;9;;2;;1;1;;;;;;;;; ;99;;;;;;; ;1;no;1; ;1;2;3;4;;;;;;;; ;1;;;3;4;;;7;;;; ;1;1;;;4;;; ;1;2;3;4;;7;8;;;;;;1; ;1;;2;;;; ;3;1;1;4;no;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;4;6;;;1;1;1;2;1;2;2;1;1;1;2;8;2;4;2;4.201;4.683
2219;#1;AMBA;1;4;1;2;1;1;;3;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;5;6;7;8;;;; ;1;;;3;;;;7;;9;; ;1;1;;;;;; ;;;3;;;;8;9;10;;;;1; ;2;;2;;;; ;2;2;1;1; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;2;3;;;1;1;2;1;1;1;1;1;1;1;2;8;2;2;1;3.668;4.089
2219;#2;AMBA;1;7;2;2;1;2;;6;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;5;6;7;;;;; ;1;;;3;;;;7;;9;; ;1;1;;;4;;; ;1;2;3;;;7;8;9;10;;;;1; ;2;;2;;;; ;3;1;2;;nada mas;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;4;6;;;1;1;2;1;1;1;1;1;1;1;2;8;2;2;1;3.668;4.089
3506;#1;AMBA;1;4;2;2;1;1;;3;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;2; ;;2;;;5;;7;;;;; ;1;;;3;;;;7;;;; ;3;1;;;;;; ;;2;3;;;;8;9;;;;;1; ;1;1;;;;; ;2;2;1;3;TODO BIEN;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;3;1;1;2;3;3;2;3;4;2;5;2;1;1;113;01
3506;#2;AMBA;1;2;2;2;2;;5;;;;;;;;;;;;;;; ;;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;0;9;;;6;6;1;1;2;3;3;2;3;4;2;5;2;1;1;113;01
3516;#1;AMBA;1;12;2;2;1;2;;11;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;5; ;1;2;3;;;6;;;;;; ;1;;;3;4;;;7;;;; ;2;1;;;;;; ;;;;4;;7;8;;10;;;;1; ;1;;2;;;; ;2;1;1;4;las nenas engacharon muy bien con las clases a distancia;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;2;2;1;1;1;2;1;1;1;2;5;2;2;1;2.511;3.310
3516;#2;AMBA;1;8;2;2;1;2;;6;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;6;2;1;1;1;2;1;1;1;2;5;2;2;1;2.511;3.310
3516;#3;AMBA;1;5;2;2;1;1;;4;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;5; ;1;;3;;5;6;;;;;; ;1;;;3;4;;;;;;; ;2;1;;;;;; ;;2;3;;;;;;;12;;;1; ;1;;2;;;; ;2;1;1;4; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;2;2;1;1;1;2;1;1;1;2;5;2;2;1;2.511;3.310
3614;#1;AMBA;1;6;2;2;1;2;;5;;1;;1;2;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;2;6;2;2;1;2;2;1;1;1;1;4;1;4;2;4.975;6.403
3614;#2;AMBA;1;7;1;2;1;2;;6;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;;2;3;;;;;;;;; ;1;;;3;4;;;;;;; ;1;1;;;;;; ;1;;3;;;;;;10;;;;1; ;1;2;;;;; ;3;1;1;1;no;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;1;2;2;1;2;2;1;1;1;1;4;1;4;2;4.975;6.403
4115;#1;AMBA;1;10;2;2;1;2;;9;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;2; ;1;2;3;4;5;6;7;8;;;; ;1;1;;;;;;7;;;; ;3;1;2;;;;; ;;2;3;;;7;8;;10;;;;2; ;3;;;;;; ;3;1;1;1;nada más;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;4;2;1;1;1;1;1;1;1;2;5;2;2;1;3.035;3.593
4206;#1;AMBA;1;15;1;2;1;3;;12;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;2; ;; ;;;;;;;;;;;; ;1;;;3;4;;;7;;;; ;1;1;;;;;; ;1;;;;;7;;;10;;;;2; ;2;1;2;;;; ;2;2;1;2; ;1;;;;;;;;; ;2;2;1;1;2;1;1;2;2;3;;;1;1;;1;1;;;1;99;1;3;2;2;2;3;3;2;3;2;1;1;1;2;2;1;2;1;;;3;;5;;;8;9;; ;2;2;2;2;2;1;;;;;;;;;99; ;ME GUSTA MAS IR A CLASES ENTIENDO MEJOR TODO;2; ;5;7;2;2;1;1;2;2;1;1;2;1;1;1;1;3;1;4;2;4.315;4.810
4206;#2;AMBA;1;18;1;2;1;3;;14;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;5;7;;;1;6;2;2;1;1;2;1;1;1;1;3;1;4;2;4.315;4.810
