ID;Region;Region_edu;Dominio;P1;P2;P3;P4;P9B1;conoce_web;usa_web;P9C1;P9B2;conoce_TV;usa_TV;P9C2;P9B3;conoce_radio;usa_radio;P9C3;P9B4;conoce_digital;usa_digital;P9C4;P9A5;P9B5;usa_impreso;P9C5;P10;P10a;P11;P11a;P11b;P11c;P11d;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29a;P29b;P30;P31;P32;P33;P34;P35;P36;P37;P38;NNA_asisten;cober_salud;pers_amb;hacinam;hacina2;perd_empleo;perc_AUH;perc_IFE;auh_ife;acceso_comp;dispo_comp;compu_NNA;acceso_int;tipo_int;acceso_TIC;NEA;clima;clima_dico;VSEH;VSEH_dico;tipo_SE;pondera_preliminar;pondera_definitivo
85007;NOA;4;4;1;;5;2;4;2;3;;4;2;3;;4;2;3;;2;1;2;1;1;1;1;1;2; ;1;0;1;0;0;1;1;2;1;2;;;;2;;2;2;;1;4;2;1;;3;;1;3;3;1;1;3;3;3;1;2;03;2;1;2;1;1;1;2;3;3;2;3;4;1;4;1;1;1;1;692;78
85019;NOA;4;3;1;;2;1;4;2;3;;3;1;3;;4;2;3;;4;2;3;;2;;3;;99; ;1;0;1;0;0;2;2;4;1;1;1;2;;1;;2;1;2;;5;2;1;;1;;1;3;2;3;2;1;3;3;1;1;01;1;1;2;2;2;4;1;1;1;1;2;1;2;5;2;4;2;1;1.774;2.080
85106;NOA;4;2;1;;4;2;4;2;3;;2;1;2;2;4;2;3;;4;2;3;;2;;3;;2; ;1;0;1;0;0;1;1;3;2;1;1;2;;2;;2;2;;2;5;2;2;1;;2;1;2;3;3;3;1;2;2;2;1;01;1;1;2;1;1;1;1;1;2;2;3;2;2;2;1;1;1;1;1.309;1.680
85107;NOA;4;4;1;;5;3;2;1;2;2;2;1;2;2;3;1;3;;2;1;2;2;1;1;1;1;2; ;1;0;1;0;0;2;2;2;1;2;;;;1;;2;2;;1;3;2;1;;1;;1;3;1;3;2;1;1;1;2;1;03;2;1;2;2;2;4;2;3;3;2;3;4;1;3;1;3;2;1;1.426;359
85109;NOA;4;4;1;;6;4;3;1;3;;1;1;1;1;3;1;3;;3;1;3;;2;;3;;2; ;1;0;1;0;0;1;1;3;1;2;;;;2;;2;2;;2;4;2;2;3;;3;1;3;1;1;2;2;3;3;2;2;02;2;1;2;1;1;1;2;3;3;2;3;4;1;3;1;1;1;1;605;01
85110;NOA;4;2;1;;6;3;3;1;3;;1;1;1;1;3;1;3;;3;1;3;;2;;3;;2; ;2;0;1;0;1;1;1;4;2;2;;;;2;;2;2;;2;3;2;2;3;;3;2;1;3;1;2;2;3;3;2;2;02;1;1;1;1;1;1;2;3;3;2;3;4;1;3;1;1;1;1;491;60
85111;NOA;4;2;1;;5;2;2;1;2;2;2;1;2;1;4;2;3;;4;2;3;;1;2;2;2;2; ;2;0;1;0;1;2;1;3;1;1;1;2;;1;;2;2;;1;3;2;1;;1;;1;1;3;1;1;1;1;3;2;1;02;1;1;1;2;1;3;1;1;2;2;3;2;1;3;1;1;1;1;2.232;2.997
85112;NOA;4;4;1;;7;3;3;1;3;;1;1;1;2;3;1;3;;3;1;3;;1;2;2;2;2; ;2;0;0;2;0;1;1;3;2;2;;;;1;;2;3;2;2;3;2;2;3;;3;1;1;1;1;1;1;1;3;2;2;02;2;1;2;1;1;1;2;3;3;1;2;3;1;3;1;2;1;1;1.426;359
85119;NOA;4;2;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;0;0;0;0;0;1;2;2;1;2;;;;1;;2;2;;1;3;2;2;3;;3;1;1;1;2;3;1;3;2;2;2;02;2;1;2;1;2;2;2;3;3;2;3;4;1;3;1;3;2;1;2.232;2.997
85120;NOA;4;4;1;;6;3;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;0;2;0;0;2;2;3;1;2;;;;3;;2;2;;2;4;2;2;1;;5;2;3;3;2;2;3;1;2;2;1;02;2;1;2;2;2;4;2;3;3;2;3;4;1;5;2;3;2;1;1.426;359
85203;NOA;4;3;1;;5;3;3;1;3;;2;1;2;1;3;1;3;;3;1;3;;2;;3;;2; ;1;0;1;0;0;2;2;3;1;2;;;;1;;2;1;1;;4;2;2;1;;4;1;2;3;2;1;3;3;3;3;1;02;1;1;2;2;2;4;2;3;3;1;1;3;1;4;1;4;2;1;1.192;193
85208;NOA;4;1;1;;3;1;4;2;3;;3;1;3;;4;2;3;;4;2;3;;1;2;2;2;2; ;2;0;2;0;0;2;2;2;1;2;;;;2;;2;2;;2;3;2;1;;1;;1;2;2;2;2;3;3;3;1;1;02;1;1;2;2;2;4;2;3;3;2;3;4;1;3;1;3;2;1;622;710
85210;NOA;4;3;1;;4;2;4;2;3;;4;2;3;;3;1;3;;2;1;2;2;1;1;1;1;2; ;1;0;1;0;0;1;1;2;1;2;;;;2;;2;2;;2;5;2;2;3;;5;1;99;3;99;1;99;3;2;1;2;02;2;1;2;1;1;1;2;3;3;2;3;4;2;5;2;1;1;1;590;74
85213;NOA;4;4;1;;10;4;4;2;3;;1;1;1;1;4;2;3;;4;2;3;;2;;3;;2; ;3;0;0;2;1;1;1;3;2;2;;;;3;;2;1;1;;7;2;2;3;;5;1;2;3;1;1;1;2;3;3;2;03;3;2;1;1;1;1;2;3;3;1;1;3;2;5;2;2;1;1;1.416;314
85214;NOA;4;2;1;;6;4;2;1;2;1;1;1;1;1;3;1;3;;1;1;1;1;1;3;3;;2; ;2;0;1;0;1;1;1;3;1;2;;;;1;;2;2;;2;2;2;1;;3;;1;3;2;3;1;1;3;3;2;2;02;2;1;1;1;1;1;2;3;3;2;3;4;1;2;1;1;1;1;503;01
85216;NOA;4;1;1;;2;1;3;1;3;;3;1;3;;4;2;3;;4;2;3;;2;;3;;2; ;1;0;1;0;0;2;1;2;1;1;1;2;;1;;2;2;;1;8;2;1;;3;;1;2;3;3;3;3;3;3;1;2;01;1;1;2;2;1;3;1;1;1;2;3;2;2;8;2;1;1;1;622;710
85218;NOA;4;3;1;;4;2;4;2;3;;1;1;1;2;4;2;3;;4;2;3;;2;;3;;2; ;2;0;0;1;1;2;2;3;2;1;1;1;;3;;2;1;2;;5;2;2;1;;5;1;3;3;1;1;3;3;3;2;1;01;1;1;1;2;2;4;1;1;2;1;2;1;2;5;2;3;2;1;2.176;2.586
85219;NOA;4;1;1;;8;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;0;1;0;0;1;1;3;1;2;;;;2;;2;2;;1;4;2;2;3;;3;1;3;3;3;1;3;3;3;1;2;03;2;1;2;1;1;1;2;3;3;2;3;4;1;3;1;1;1;2;69;01
